country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,region_avg_happiness,region_avg_gdp,happiness_vs_region,happiness_zscore
Bangladesh,Southern Asia,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2015,4.580857142857143,0.5604857142857143,0.11314285714285699,-0.6602267548731889
Iran,Middle East and Northern Africa,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,2015,5.406899999999999,1.0669735,-0.7208999999999994,-0.6674022393607187
Ukraine,Central and Eastern Europe,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,2015,5.332931034482758,0.942438275862069,-0.6519310344827582,-0.6718869171654247
Iraq,Middle East and Northern Africa,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788,2015,5.406899999999999,1.0669735,-0.7298999999999998,-0.67547465940919
South Africa,Sub-Saharan Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,2015,4.2028,0.380473,0.4392000000000005,-0.7068674040421322
Ghana,Sub-Saharan Africa,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2015,4.2028,0.380473,0.43020000000000014,-0.7149398240906035
Zimbabwe,Sub-Saharan Africa,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2015,4.2028,0.380473,0.40720000000000045,-0.7355693419922513
Liberia,Sub-Saharan Africa,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,2015,4.2028,0.380473,0.36819999999999986,-0.7705498288689596
India,Southern Asia,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2015,4.580857142857143,0.5604857142857143,-0.01585714285714257,-0.7759314422346063
Sudan,Sub-Saharan Africa,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2015,4.2028,0.380473,0.34719999999999995,-0.7893854756487252
Haiti,Latin America and Caribbean,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2015,6.144681818181818,0.8768154545454546,-1.626681818181818,-0.8180874135988443
Congo (Kinshasa),Sub-Saharan Africa,4.517,0.0,1.0012,0.09806,0.22605,0.24834,0.07625,2015,4.2028,0.380473,0.3142000000000005,-0.818984349159785
Nepal,Southern Asia,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,2015,4.580857142857143,0.5604857142857143,-0.06685714285714273,-0.8216751558426089
Ethiopia,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2015,4.2028,0.380473,0.3091999999999997,-0.8234690269644919
